ScatID,curated_species,common_name,order,family,genus,species,new_host,site,type
D.06.25.23.B3,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.25.23.B3,Zalophus californianus,california sea lion,Carnivora,Otariidae,Zalophus,californianus,Coyote,Dangermond,host and prey
D.06.25.23.B4,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.25.23.B4,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.25.23.C1,Bos taurus,domestic cattle,Artiodactyla,Bovidae,Bos,taurus,Coyote,Dangermond,host and prey
D.06.25.23.C1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.25.23.C1,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.06.25.23.C1,Elgaria multicarinata,california alligator lizard,Squamata,Anguidae,Elgaria,multicarinata,Coyote,Dangermond,host and prey
D.06.25.23.C10,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.25.23.C10,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.06.25.23.C12,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.25.23.C12,Zalophus californianus,california sea lion,Carnivora,Otariidae,Zalophus,californianus,Coyote,Dangermond,host and prey
D.06.25.23.C12,Pituophis catenifer,gopher snake,Squamata,Colubridae,Pituophis,catenifer,Coyote,Dangermond,host and prey
