ScatID,curated_species,common_name,order,family,genus,species,new_host,site,type
C.07.15.23.C1,Sylvilagus bachmani,brush rabbit,Lagomorpha,Leporidae,Sylvilagus,bachmani,Coyote,Coal Oil Point,host and prey
C.07.15.23.C2,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Coal Oil Point,host and prey
C.07.15.23.C2,Sylvilagus bachmani,brush rabbit,Lagomorpha,Leporidae,Sylvilagus,bachmani,Coyote,Coal Oil Point,host and prey
C.07.17.23.C1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Coal Oil Point,host and prey
C.07.17.23.C1,Bos taurus,domestic cattle,Artiodactyla,Bovidae,Bos,taurus,Coyote,Coal Oil Point,host and prey
C.07.24.23.C1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Coal Oil Point,host and prey
C.07.24.23.C1,Spermophillus beecheyi,california ground squirrel,Rodentia,Sciuridae,Spermophillus,beecheyi,Coyote,Coal Oil Point,host and prey
C.07.24.23.C1,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Coal Oil Point,host and prey
C.08.07.23.C1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Coal Oil Point,host and prey
C.08.07.23.C1,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Coal Oil Point,host and prey
C.08.07.23.C2,Spermophillus beecheyi,california ground squirrel,Rodentia,Sciuridae,Spermophillus,beecheyi,Coyote,Coal Oil Point,host and prey
C.08.07.23.C2,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Coal Oil Point,host and prey
C.08.07.23.C2,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Coal Oil Point,host and prey
C.08.07.23.C2,Plestiodon skiltonianus,skilton's skink,Squamata,Scincidae,Plestiodon,skiltonianus,Coyote,Coal Oil Point,host and prey
D.06.14.23.B1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.14.23.B1,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.14.23.B1,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.08.14.23.B1,Lynx rufus,bobcat,Carnivora,Felidae,Lynx,rufus,Bobcat,Dangermond,host and prey
D.08.14.23.B1,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Bobcat,Dangermond,host and prey
D.08.14.23.B1,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Bobcat,Dangermond,host and prey
D.08.14.23.B2,Lynx rufus,bobcat,Carnivora,Felidae,Lynx,rufus,Bobcat,Dangermond,host and prey
D.08.14.23.B2,Odocoileus hemionus,mule deer,Artiodactyla,Cervidae,Odocoileus,hemionus,Bobcat,Dangermond,host and prey
D.08.14.23.B2,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Bobcat,Dangermond,host and prey
D.08.14.23.B3,Lynx rufus,bobcat,Carnivora,Felidae,Lynx,rufus,Bobcat,Dangermond,only host ID
D.08.14.23.B3,Odocoileus hemionus,mule deer,Artiodactyla,Cervidae,Odocoileus,hemionus,Bobcat,Dangermond,only host ID
D.08.14.23.B4,Lynx rufus,bobcat,Carnivora,Felidae,Lynx,rufus,Bobcat,Dangermond,only host ID
D.08.14.23.C1,Lynx rufus,bobcat,Carnivora,Felidae,Lynx,rufus,Bobcat,Dangermond,only host ID
D.08.14.23.C1,Odocoileus hemionus,mule deer,Artiodactyla,Cervidae,Odocoileus,hemionus,Bobcat,Dangermond,only host ID
D.08.14.23.C2,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.08.14.23.C2,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.08.14.23.C2,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.08.14.23.C2,Urile pelagicus,pelagic cormorant,Suliformes,Phalacrocoracidae,Urile,pelagicus,Coyote,Dangermond,host and prey
D.08.14.23.C3,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.08.14.23.C3,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.08.14.23.C4,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.08.14.23.C4,Microtus californicus,california vole,Rodentia,Cricetidae,Microtus,californicus,Coyote,Dangermond,host and prey
D.08.14.23.C4,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.08.14.23.C4,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Coyote,Dangermond,host and prey
D.08.14.23.C4,Reithrodontomys megalotis,western harvest mouse,Rodentia,Cricetidae,Reithrodontomys,megalotis,Coyote,Dangermond,host and prey
D.08.14.23.C5,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.08.14.23.C5,Microtus californicus,california vole,Rodentia,Cricetidae,Microtus,californicus,Coyote,Dangermond,host and prey
D.08.14.23.C6,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.08.14.23.C6,Microtus californicus,california vole,Rodentia,Cricetidae,Microtus,californicus,Coyote,Dangermond,host and prey
D.08.14.23.C7,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.08.14.23.C7,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.08.14.23.C7,Stenopelmatus sp,cricket,Orthoptera,Stenopelmatidae,Stenopelmatus,NA,Coyote,Dangermond,host and prey
D.08.14.23.F1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.08.14.23.F1,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.08.14.23.F1,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.08.14.23.H1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.08.14.23.H2,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.08.14.23.H3,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Wild boar,Dangermond,only host ID
D.06.14.23.C1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.14.23.C1,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.06.14.23.C1,Zonotrichia leucophrys,white-crowned sparrow,Passeriformes,Passerellidae,Zonotrichia,leucophrys,Coyote,Dangermond,host and prey
D.06.14.23.C2,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
