site,host,mean,sd,n_samples,min,max
COP/NCOS,coyote,574.8885505770787,245.12258633988114,32,255.8255023505017,1300.5133750438958
Dangermond,bobcat,938.3501621241517,621.8475281143022,35,100.14334871492322,3860.9550012545615
Dangermond,coyote,667.1099182104201,890.1973716686681,81,37.80450180804135,4272.160061082441
Dangermond,mule deer,650.9117176707668,357.53590405859984,8,85.31514581138651,1027.3757428292033
Dangermond,puma,1268.635338770979,NA,1,1268.635338770979,1268.635338770979
Dangermond,wild boar,1775.21328377308,1604.8134118306343,54,45.44541336136249,4604.196207283403
